round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,cifar10,100,iid,,1,0,0,2.3113226694107056,0.1002,0.052,0.1484,0.0,0.0,,,0,241448,50
1,flwf2,cifar10,100,iid,,1,1,0,3.4033529141426087,0.2595,0.519,0.0,-0.467,0.1484,0.467,,24144800,241448,50
2,flwf2,cifar10,100,iid,,1,0,0,4.253189515781402,0.2852,0.5704,0.0,-0.0514,0.1484,0.5184,,48289600,241448,50
3,flwf2,cifar10,100,iid,,1,0,0,4.457326472139359,0.3048,0.6096,0.0,-0.03920000000000001,0.1484,0.5576,,72434400,241448,50
4,flwf2,cifar10,100,iid,,1,0,0,4.538234986448288,0.3144,0.6288,0.0,-0.019199999999999995,0.1484,0.5768,,96579200,241448,50
5,flwf2,cifar10,100,iid,,1,0,0,4.4812943029880525,0.3204,0.6408,0.0,-0.01200000000000001,0.1484,0.5888,,120724000,241448,50
6,flwf2,cifar10,100,iid,,1,0,0,4.489999989318847,0.3263,0.6526,0.0,-0.011799999999999922,0.1484,0.6005999999999999,,144868800,241448,50
7,flwf2,cifar10,100,iid,,1,0,0,4.522491724681855,0.3276,0.6552,0.0,-0.0026000000000000467,0.1484,0.6032,,169013600,241448,50
8,flwf2,cifar10,100,iid,,1,0,0,4.643069439411163,0.3358,0.6716,0.0,-0.01639999999999997,0.1484,0.6195999999999999,,193158400,241448,50
9,flwf2,cifar10,100,iid,,1,0,0,4.676714624595642,0.3384,0.6768,0.0,-0.005199999999999982,0.1484,0.6247999999999999,,217303200,241448,50
10,flwf2,cifar10,100,iid,,1,0,1,4.739494157123565,0.342,0.684,0.0,-0.007200000000000095,0.1484,0.632,,241448000,241448,50
11,flwf2,cifar10,100,iid,,2,1,0,4.681159374713897,0.342,0.684,0.0,0.0,0.1484,0.632,,265592800,241448,50
12,flwf2,cifar10,100,iid,,2,0,0,4.626647109413147,0.3421,0.6842,0.0,-0.00019999999999997797,0.1484,0.6322,,289737600,241448,50
13,flwf2,cifar10,100,iid,,2,0,0,4.574724039459229,0.3423,0.6846,0.0,-0.00039999999999995595,0.1484,0.6325999999999999,,313882400,241448,50
14,flwf2,cifar10,100,iid,,2,0,0,4.5248467534542085,0.3424,0.6848,0.0,-0.00019999999999997797,0.1484,0.6327999999999999,,338027200,241448,50
15,flwf2,cifar10,100,iid,,2,0,0,4.477454423236847,0.3421,0.6842,0.0,0.0005999999999999339,0.1484,0.6322,,362172000,241448,50
16,flwf2,cifar10,100,iid,,2,0,0,4.4318602138519285,0.3421,0.6842,0.0,0.0005999999999999339,0.1484,0.6322,,386316800,241448,50
17,flwf2,cifar10,100,iid,,2,0,0,4.387995077514648,0.3418,0.6836,0.0,0.0011999999999999789,0.1484,0.6315999999999999,,410461600,241448,50
18,flwf2,cifar10,100,iid,,2,0,0,4.345902003240585,0.3415,0.683,0.0,0.0017999999999999128,0.1484,0.631,,434606400,241448,50
19,flwf2,cifar10,100,iid,,2,0,0,4.305159985733032,0.3415,0.683,0.0,0.0017999999999999128,0.1484,0.631,,458751200,241448,50
20,flwf2,cifar10,100,iid,,2,0,1,4.265950019454956,0.3414,0.6828,0.0,0.0020000000000000018,0.1484,0.6307999999999999,,482896000,241448,50
